rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
268,270,0.07637583,0.0007545147,0.04117913,0.013810948
269,271,0.075035155,0.0007605821,0.04486157,-0.0013406724
270,272,0.0662832,0.00023993204,0.046624746,-0.008751951
271,273,0.077081524,0.0002057376,0.05257955,0.01079832
272,274,0.07855553,0.00024221923,0.055787627,0.001474008
273,275,0.08678487,0.00016481377,0.06913831,0.008229338
274,276,0.086209565,0.00018846209,0.03876946,-0.00057530403
275,277,0.090557106,0.00016552334,0.038099293,0.0043475404
276,278,0.058940627,0.01654469,0.12832958,-0.03161648
277,279,0.0613401,0.0031588832,0.10125786,0.0023994744
278,280,0.07557602,0.002790023,0.04089586,0.014235921
279,281,0.076491915,0.006870995,0.049078036,0.0009158924
280,282,0.059056304,0.00033744468,0.105427325,-0.01743561
281,283,0.061380316,0.00022413355,0.10131353,0.0023240112
282,284,0.0756141,0.00022426908,0.04090931,0.014233787
283,285,0.076521076,0.00023194193,0.04910001,0.0009069741
284,286,0.06837564,0.011188822,0.055156957,-0.008145437
285,287,0.078186594,0.008747723,0.052858856,0.009810954
286,288,0.08182266,0.012024244,0.057474844,0.0036360696
287,289,0.08631606,0.00416694,0.07359305,0.004493393
288,290,0.08530318,0.0023234645,0.03870157,-0.0010128766
289,291,0.090004675,0.0035606949,0.037974965,0.004701495
290,292,0.08213703,0.013236519,0.085175194,-0.007867642
291,293,0.092460334,0.0058904504,0.053123694,0.010323301
292,294,0.104791634,0.020660935,0.07478483,0.0123312995
293,295,0.087206624,0.013545994,0.09551239,-0.01758501
294,296,0.08549026,0.013676042,0.039030164,-0.0017163679
295,297,0.09102056,0.0047979187,0.038479086,0.005530305
296,298,0.078123465,0.0,0.13434713,-0.012897097
297,299,0.061649818,0.005284772,0.11056047,-0.016473647
298,300,0.076333955,0.0,0.04129751,0.014684137
299,301,0.0770635,0.0,0.049452573,0.00072954595
300,302,0.06758206,0.011720049,0.051224243,-0.0094814375
301,303,0.07861602,0.0,0.052851625,0.01103396
302,304,0.0804795,0.0,0.05722103,0.0018634796
303,305,0.08665446,0.0048974073,0.07146387,0.0061749592
304,306,0.08559338,0.0049535045,0.038786106,-0.0010610819
305,307,0.090428814,0.0,0.038188297,0.0048354343
306,308,0.0675495,8.559704e-05,0.06867932,-0.022879317
307,309,0.07859262,0.0,0.052849624,0.011043124
308,310,0.08044907,0.0,0.05722113,0.0018564463
309,311,0.086653985,3.0762167e-05,0.071450256,0.006204918
310,312,0.085589506,3.801139e-05,0.038786072,-0.0010644794
311,313,0.09042754,0.0,0.038188882,0.0048380345
312,314,0.08599293,0.015975202,0.033562906,-0.004434608
313,315,0.08650473,0.02051167,0.05052235,0.0005117953
314,316,0.08985139,0.0,0.04865671,0.0033466592
315,317,0.099725515,0.02564574,0.03126053,0.009874128
316,318,0.042030968,0.012751148,0.11744733,-0.057694547
317,319,0.042968016,0.0013806196,0.0013806196,0.00093704835
318,320,0.063621536,0.015092096,0.04795017,0.02065352
319,321,0.07031953,0.01344372,0.09567158,0.0066979975
320,322,0.08273509,0.009823051,0.041486006,0.012415558
321,323,0.08242512,0.008784707,0.045916982,-0.00030997396
322,324,0.041801516,0.011770196,0.09650006,-0.0406236
323,325,0.056227654,0.011241016,0.047500234,0.014426138
324,326,0.06468295,0.009283854,0.09592364,0.008455299
325,327,0.07846227,0.007159575,0.041626543,0.01377932
326,328,0.07728184,0.008776031,0.04557353,-0.0011804327
327,329,0.05643822,0.0012192584,0.10230355,-0.020843621
328,330,0.06491213,0.00094604935,0.096002966,0.008473914
329,331,0.07866159,0.0009233026,0.04164237,0.013749458
330,332,0.07748849,0.00093574094,0.045601442,-0.0011731014
331,333,0.070541464,0.012917099,0.04973387,-0.0069470257
332,334,0.08074252,0.010314568,0.05323101,0.010201059
333,335,0.08283432,0.0106470045,0.056656845,0.0020917952
334,336,0.08932654,0.0114413705,0.07150091,0.00649222
335,337,0.0884502,0.011185774,0.039310995,-0.0008763373
336,338,0.09220125,0.004162344,0.03826959,0.003751047
337,339,0.051315196,0.007931639,0.11705459,-0.040886052
338,340,0.06121873,0.010020671,0.04885648,0.009903535
339,341,0.06328609,0.0035532666,0.101359874,0.0020673573
340,342,0.07743305,0.0034070548,0.041334637,0.014146961
341,343,0.078037106,0.009082346,0.049035653,0.0006040558
342,344,0.06136258,0.0012750777,0.10551729,-0.016674526
343,345,0.06352686,0.0010759104,0.10125238,0.002164282
344,346,0.07765767,0.0010725742,0.041369356,0.014130808
345,347,0.07811967,0.0011969062,0.048864707,0.00046200305
346,348,0.072080076,0.007572196,0.055839937,-0.006039597
347,349,0.081583016,0.00606666,0.05335583,0.00950294
348,350,0.08522573,0.010382894,0.057952333,0.0036427155
349,351,0.08900636,0.0017628093,0.07504192,0.0037806258
350,352,0.08786035,0.0014830057,0.039355174,-0.0011460036
351,353,0.09201546,0.0015639135,0.038238518,0.004155107
352,354,0.079508156,0.005405008,0.13963147,-0.012507305
353,355,0.062328514,0.0031764158,0.11187127,-0.017179642
354,356,0.07715691,0.0027692933,0.041533127,0.014828395
355,357,0.078265876,0.002464768,0.050203454,0.0011089668
356,358,0.06917149,0.008627729,0.0534148,-0.009094387
357,359,0.08014909,0.0068914825,0.053309914,0.0109776035
358,360,0.08237554,0.007682714,0.057889763,0.0022264495
359,361,0.087607086,0.0075562135,0.07325585,0.0052315444
360,362,0.08631215,0.007248054,0.039221246,-0.0012949333
361,363,0.09118911,0.0026122604,0.038351286,0.0048769563
362,364,0.06934666,0.00054087996,0.06959339,-0.02184245
363,365,0.080259345,0.0005120308,0.053322922,0.010912687
364,366,0.08247696,0.0006228638,0.057853967,0.0022176132
365,367,0.08762817,0.0004390498,0.07322681,0.005151212
366,368,0.08633785,0.00041944467,0.039235413,-0.0012903214
367,369,0.09121527,0.00044145086,0.038376767,0.0048774183
368,370,0.08747528,0.010083568,0.03439582,-0.0037399903
369,371,0.08789208,0.010495599,0.051342838,0.00041680038
370,372,0.09105989,0.004039507,0.048940673,0.0031678155
371,373,0.10057287,0.009087638,0.032141335,0.009512976
372,374,0.0513084,0.0003311785,0.12470218,-0.04926447
373,375,0.061287325,0.0005406501,0.04888895,0.009978924
374,376,0.063382655,0.0004074357,0.10132065,0.0020953305
375,377,0.07751494,0.0004002806,0.041318383,0.014132284
376,378,0.07815356,0.000412904,0.04904853,0.00063861907
377,379,0.061633103,0.001266637,0.10564434,-0.016520455
378,380,0.06375643,0.000949087,0.10139798,0.002123326
379,381,0.07785726,0.0009447455,0.04138048,0.014100835
380,382,0.07836221,0.0009734404,0.048965853,0.0005049482
381,383,0.072080076,1.207132e-08,0.055826597,-0.006282136
382,384,0.08158301,2.2430426e-08,0.053355843,0.009502932
383,385,0.08522573,1.8626451e-08,0.057952337,0.003642723
384,386,0.08900635,1.3038516e-08,0.07504192,0.0037806183
385,387,0.08786035,1.1780402e-08,0.039355174,-0.0011459962
386,388,0.09201546,9.125061e-09,0.038238518,0.004155107
387,389,0.0795034,0.00032531362,0.13956,-0.012512058
388,390,0.062346607,0.0002850655,0.11183842,-0.017156795
389,391,0.077171,0.0002869996,0.04154191,0.01482439
390,392,0.07828901,0.00028815656,0.05022703,0.0011180118
391,393,0.069092,0.0004986791,0.053394992,-0.009197012
392,394,0.080067545,0.0004890806,0.053316016,0.010975547
393,395,0.08232347,0.00049887766,0.05789419,0.002255924
394,396,0.08762404,0.00013570089,0.07324425,0.005300574
395,397,0.086332954,7.840912e-05,0.03921573,-0.0012910888
396,398,0.09120479,9.98324e-05,0.03834811,0.004871838
397,399,0.06922705,0.0012083657,0.06957931,-0.021977745
398,400,0.080148734,0.0011928431,0.05332961,0.010921687
399,401,0.08239401,0.0012003876,0.05787996,0.0022452772
400,402,0.08769327,0.00075729226,0.073186755,0.0052992553
401,403,0.08639014,0.00074836897,0.03924765,-0.0013031289
402,404,0.091273345,0.0007535947,0.03838032,0.0048832074
403,405,0.087504886,0.00017521936,0.034392014,-0.003768459
404,406,0.08792919,0.00020222567,0.051359244,0.0004243031
405,407,0.09108206,0.00018654064,0.048945148,0.0031528696
406,408,0.10058324,0.0001522538,0.03215174,0.009501182
407,409,0.06796648,0.0067699016,0.08169432,-0.032616757
408,410,0.078871466,0.0064844624,0.05314781,0.010904983
409,411,0.08435932,0.014795792,0.06206481,0.005487852
410,412,0.08684458,0.0029230504,0.07697616,0.0024852604
411,413,0.085440695,0.0020760873,0.039034173,-0.0014038831
412,414,0.09052003,0.0026416648,0.03816901,0.0050793365
413,415,0.068015695,0.00026093022,0.07010475,-0.022504337
414,416,0.07891652,0.00026009898,0.053162143,0.010900825
415,417,0.08440218,0.00026995433,0.062097,0.0054856613
416,418,0.086877674,0.00022846651,0.07700322,0.0024754927
417,419,0.085473076,0.00021411874,0.039054185,-0.0014045984
418,420,0.09054985,0.00020471886,0.038182545,0.0050767735
419,421,0.0875772,0.0066688755,0.036191143,-0.0029726475
420,422,0.088418245,0.008537133,0.051721226,0.0008410439
421,423,0.09124895,0.0070317877,0.04905611,0.0028307065
422,424,0.10016834,0.005208036,0.033283476,0.008919388
423,425,0.10032333,0.02541092,0.06092576,0.00015498698
424,426,0.09998435,0.027908165,0.051758844,-0.00033897907
425,427,0.103674814,0.005178331,0.04954648,0.0036904663
426,428,0.10097046,0.013085004,0.05018168,-0.0027043521
427,429,0.08220001,0.0059521548,0.08634978,-0.018770449
428,430,0.09247372,0.0,0.053452473,0.01027371
429,431,0.0972292,0.0,0.06383036,0.0047554746
430,432,0.08726117,0.004271804,0.08649917,-0.0099680275
431,433,0.08555086,0.004385306,0.039128076,-0.0017103106
432,434,0.09097554,0.0,0.038618714,0.0054246783
433,435,0.088220954,0.017766373,0.03367327,-0.002754584
434,436,0.08824647,0.018350787,0.051510733,2.5518239e-05
435,437,0.09179971,0.0,0.04918586,0.0035532415
436,438,0.10032615,0.0041839057,0.033139583,0.008526437
437,439,0.088204265,7.115288e-05,0.034475464,-0.012121886
438,440,0.088224605,7.470245e-05,0.051510435,2.0340085e-05
439,441,0.09178255,0.0,0.04918617,0.0035579428
440,442,0.10032568,2.4906334e-05,0.033128086,0.008543134
441,443,0.09981895,0.014295955,0.017967582,-0.0005067289
442,444,0.018971467,0.024289383,0.0937173,-0.08084749
443,445,0.056998294,0.006255394,0.06323398,0.038026825
444,446,0.02937643,0.00995403,0.029157318,-0.027621863
445,447,0.030492606,0.0020260867,0.0020260867,0.0011161752
446,448,0.01063987,0.008768209,0.033559218,-0.019852735
447,449,0.010639878,2.365266e-08,2.365266e-08,8.381903e-09
448,450,0.03324721,0.0,0.036648262,0.022607332
449,451,0.083087154,0.040706925,0.09793632,0.049839944
450,452,0.077615336,0.017419394,0.017419394,-0.005471818
451,453,0.021045879,0.008439278,0.08097738,-0.056569457
452,454,0.03073976,0.0124657005,0.037910588,0.0096938815
453,455,0.08498029,0.00863394,0.0939125,0.054240525
454,456,0.079142205,0.008700097,0.017267026,-0.0058380812
455,457,0.07411196,0.007608786,0.041676417,-0.0050302446
456,458,0.020094631,0.0021829745,0.07747606,-0.054017328
457,459,0.030739758,2.2351742e-08,0.036847156,0.010645127
458,460,0.08498029,1.6892661e-08,0.0939125,0.05424053
459,461,0.079142205,1.104428e-08,0.017267026,-0.0058380812
460,462,0.07411196,1.8641089e-08,0.041676417,-0.0050302446
461,463,0.096803226,0.008616256,0.13388278,0.022691265
462,464,0.08141609,0.02347789,0.13548538,-0.015387133
463,465,0.07782055,0.015384802,0.015384802,-0.003595546
464,466,0.0862312,0.02420543,0.05847241,0.008410655
465,467,0.04643808,0.012395419,0.09420175,-0.039793123
466,468,0.08206308,0.011033864,0.104910776,0.035625
467,469,0.077653244,0.0072824555,0.017374787,-0.0044098347
468,470,0.07666251,0.017750587,0.04496067,-0.0009907335
469,471,0.04651308,0.0021992072,0.09198429,-0.03014943
470,472,0.08197343,0.0009555069,0.104705244,0.035460353
471,473,0.0776577,0.0008270974,0.017155759,-0.004315734
472,474,0.076901145,0.001004139,0.04524511,-0.0007565543
473,475,0.0849363,0.023330785,0.06211702,0.008035153
474,476,0.079930015,0.017604772,0.017604772,-0.0050062835
475,477,0.07619777,0.0,0.04599677,-0.0037322417
476,478,0.10557546,0.034572184,0.08292075,0.029377684
477,479,0.09671424,0.028613247,0.036835957,-0.008861214
478,480,0.093345806,0.017137595,0.017137595,-0.0033684373
479,481,0.031678207,0.01014207,0.097530976,-0.0616676
480,482,0.0873123,0.0071418234,0.091748014,0.055634096
481,483,0.08120912,0.00732952,0.016961427,-0.0061031803
482,484,0.07514827,0.0059915287,0.043633807,-0.0060608536
483,485,0.036907982,0.008071723,0.089932896,-0.038240287
484,486,0.08326502,0.006870361,0.09746163,0.04635704
485,487,0.07861383,0.0062692636,0.017614221,-0.004651189
486,488,0.074972905,0.012808046,0.040489677,-0.0036409274
487,489,0.08588034,0.010185996,0.058294393,0.010907434
488,490,0.08036536,0.010237455,0.017454563,-0.0055149794
489,491,0.075811915,0.008706138,0.047840852,-0.0045534447
490,492,0.10610841,0.007542913,0.08255421,0.030296497
491,493,0.09729116,0.0073636263,0.037066333,-0.0088172555
492,494,0.09390698,0.0073947576,0.01729662,-0.0033841804
493,495,0.037235603,0.0023944494,0.10907707,-0.056671374
494,496,0.08334066,0.0009445494,0.098006696,0.046105057
495,497,0.07858912,0.0009528483,0.017606331,-0.0047515407
496,498,0.07488602,0.00076980796,0.040541556,-0.0037031025
497,499,0.08588034,2.166201e-08,0.058015224,0.010994323
498,500,0.08036536,2.7008355e-08,0.017454563,-0.0055149794
499,501,0.075811915,2.0147588e-08,0.047840852,-0.0045534447
500,502,0.10610841,1.8995328e-08,0.08255421,0.030296497
501,503,0.09729116,1.3560261e-08,0.03706633,-0.0088172555
502,504,0.09390698,1.0886078e-08,0.017296623,-0.0033841804
503,505,0.083593234,0.024981812,0.051875986,-0.010313742
504,506,0.080248065,0.015563295,0.015563295,-0.0033451691
505,507,0.11210349,0.045757752,0.09222967,0.031855427
506,508,0.105385154,0.0148303285,0.11880999,-0.0067183375
507,509,0.09583117,0.015647808,0.037235036,-0.009553984
508,510,0.092824705,0.015915724,0.01721206,-0.0030064657
509,511,0.08393662,0.0152514605,0.048358493,-0.008888088
510,512,0.08000456,0.011259902,0.017713334,-0.003932059
511,513,0.07962308,0.025571115,0.0509021,-0.00038147718
512,514,0.10558325,0.0059654545,0.08693369,0.02596017
513,515,0.09618904,0.005463352,0.03757549,-0.009394214
514,516,0.09299378,0.005518095,0.017141432,-0.003195256
515,517,0.08365258,0.0011747208,0.0474209,-0.009341203
516,518,0.07978886,0.0011812187,0.017718324,-0.0038637146
517,519,0.079696536,0.0012306095,0.051102713,-9.2327595e-05
518,520,0.10556636,0.0006535774,0.087002575,0.025869824
519,521,0.09617673,0.0005931133,0.037571557,-0.009389631
520,522,0.0930289,0.000597035,0.017090462,-0.0031478256
521,523,0.106521994,0.019180391,0.052413333,0.013493091
522,524,0.0971641,0.01755966,0.03727941,-0.009357892
523,525,0.09358863,0.0177425,0.018052109,-0.003575474
524,526,0.11530326,0.027649105,0.043896917,0.021714635
525,527,0.087646306,0.008189296,0.059735667,-0.027656958
526,528,0.08172662,0.008339953,0.017124623,-0.0059196874
527,529,0.07628099,0.007091525,0.05020812,-0.0054456294
528,530,0.10741182,0.0067745554,0.083106145,0.031130828
529,531,0.09853618,0.0061038197,0.037822112,-0.008875638
530,532,0.09502477,0.006230424,0.017430408,-0.0035114065
531,533,0.08406213,0.0076288884,0.04847014,-0.010962643
532,534,0.07973046,0.0075772754,0.017760785,-0.0043316707
533,535,0.07664842,0.01335503,0.046303593,-0.003082037
534,536,0.10595866,0.003928391,0.0829301,0.029310241
535,537,0.09677705,0.0038123028,0.037679277,-0.009181611
536,538,0.093658365,0.0037832588,0.01750987,-0.0031186864
537,539,0.106722854,0.0085497,0.051895354,0.013064489
538,540,0.09738444,0.008105092,0.037894428,-0.009338416
539,541,0.09379773,0.008157398,0.018195666,-0.0035867095
540,542,0.115611605,0.0069238925,0.042571377,0.021813877
541,543,0.0843052,0.00124184,0.06138574,-0.03130641
542,544,0.07989802,0.001267501,0.017752258,-0.004407175
543,545,0.07672104,0.0011185538,0.046443254,-0.0031769797
544,546,0.10596983,0.0006077613,0.083073236,0.029248789
545,547,0.096782066,0.0005666572,0.037690274,-0.009187765
546,548,0.09361232,0.00057286816,0.01755919,-0.0031697452
547,549,0.106722854,2.3133573e-08,0.051682208,0.013110533
548,550,0.09738444,2.1073424e-08,0.037894424,-0.009338416
549,551,0.09379773,2.2595446e-08,0.018195666,-0.0035867095
550,552,0.115611605,1.6125203e-08,0.042571377,0.021813877
551,553,0.10584341,0.019511756,0.042341787,-0.009768195
552,554,0.095521465,0.017739994,0.037825216,-0.010321945
553,555,0.09225059,0.018018942,0.018300872,-0.003270872
554,556,0.11435024,0.014075276,0.04585482,0.022099644
555,557,0.106273256,0.010916881,0.036919367,-0.008076981
556,558,0.09621172,0.007825889,0.037964806,-0.01006154
557,559,0.09278586,0.007873883,0.018142397,-0.003425859
558,560,0.114697374,0.0050952514,0.045007527,0.021911517
559,561,0.106144264,0.0008577789,0.036684502,-0.00855311
560,562,0.09610621,0.0007965152,0.037949815,-0.0100380555
561,563,0.09272443,0.00080850883,0.018077655,-0.0033817813
562,564,0.11469234,0.0006203375,0.044931278,0.02196791
563,565,0.11555911,0.015887797,0.023148982,0.00086677074
564,566,0.029218055,0.0255037,0.12129156,-0.08634105
565,567,0.0667945,0.030063853,0.07206242,0.037576444
566,568,0.018168319,0.0,0.062292304,-0.04862618
567,569,0.014671348,0.0118687665,0.02797512,-0.003496971
568,570,0.014764715,0.00024069303,0.00024069303,9.336695e-05
569,571,0.03324721,0.0,0.03315133,0.018482495
570,572,0.024067458,0.01343987,0.036349688,-0.009179752
571,573,0.046554863,0.013147805,0.041809756,0.022487406
572,574,0.024067456,1.1669439e-08,0.041809753,-0.022487408
